text	readability
Abgesehen davon, dass die Deutsche Sprache, grob geschätzt, von weniger Menschen weltweit gesprochen wird, als English, Französich oder Spanish, halte ich Deutschlernen für nutzlich. Mit diesem Thema wuerde ich mich gerne auseinandersetzen. In Vergleich zum Französische Sprache, die nur in Frankreich und einige Afrikanishe Länder gesprochen wird, sprechen Deutsch außer Deutschland auch Österreich und die Schweiz, was zusammen einen grössen Anzahl der Menschen gibt. Was Weltwirtschaft und Politik betrifft, steht Deutschland sehr wahrscheinlich auf die erste Stelle in Europa. Deutschlernen ist für alle Länder, die mit Deutschland im Kontakt und Partnerschaft bleiben wollen, wichtig. In Polen und Czech wird Deutsch häufiger als Englisch gesprochen. In meiner Heimatland gewinnt Deutsch den zweite Platz (nach Englisch) in Popularität. Immer mehr Menschen verstehen, dass in Zukunft unsere Partnerschaft und Kolloboration mit Deutschland sich verstärken wird, und lernen Deutsch sehr gerne und nicht ohne Erfolg. Uns ist sicher bewusst, dass diese Sprache für unsere Land nutzlicher und wichtige als andere ist. Das muss man nicht untertreiben. Meine eigene Meinung nach, ist Deutsche Sprache sehr attraktiv für Linguisten. Es gibt darin Logik und Ordnung, die in seltene Sprache man finden kann. Logik in Sprache trainiert allgemeine Linguistische- und Kommunikationsfähigkeiten, deshalb wäre es nutzlich, Deutsch wie Englisch in die Grundschule lernen anzufangen.	0
Sehr gehtter Demen Herren ich suche zwei zimmer wohnug wegen ich habe einen kind und ich will zwei zimmer wohung mit balkon oda ohnu balkon abar ich will Garage wegen ich habe Aotu mieten mitt warm 600  Mitt Froundliche Gruß	3
Liber Michael. wie gut es dir. Ich brache deine hilfe meine gut Freund. weil Ich eine neue arbeit gefunden in Neuburg habe und ich brache anie neun Wohnug. Könnst du bitte mir ein größe Wohnug besche. am 2. Juni. Ich worte Für Ihr antwörte. Veil Größ 	4
                                                 12.02.2012 Liebe Katharina,           wie geht es dir? Mir geht es gut. Ich möchte nach Indien zwei Woche Urlaub machen. Kannst du mir helfen? Ich nehme nicht meinen Hund nach Indien mit. Mein Hund name ist Waldi. Waldi brauche nur einmal Essen jeden tag. Kannst du etwas Essen ein mal zu geben? Ich mochte nach Indien erste zwei wochen am April fahren. Bitte hilf mir und such meinen Hund für zwei Woche. Vielen Dank,  Dein freund Tobias	3
Lieber Michael, Ich bin sehr gefreut, weil du mir Geschrieben hast. Ich wünsche dir einen neuen jahr Das war sehr toll, und schön für dich. Das Fest war super. Wir haben viel gegessen und Getrunken, Mein Mann und ich sind in den dorfe gegangen, wir haben mit unserer Familie getroffen, das war super. Am Abend sind wir in ein Restaurant gegangen eingentlich habe ich viel Getanzen. Es Gibt neue, ich habe eine neue stelle. ich bin zufriden, und die macht Spaß. Ich bin frisör von Beruf. Wann könnten wir uns treffen, ich warte auf dein antworte bald. Liebe Grüße Eva	2
                                                Stadt X, den 04.01.2012 Sehr geehrte Damen und Herren, Ich suche eine neue Wohnung. Ich bin verheiratet und habe Ich drei Kinder. Ich möchte meine Wohnung mit drei SchlafenZimmer und Groß Wohnzimmer. auch davon große Küsche und Zwei Bad. Am mindesten möchte Ich ein Balkon an die Wohnung. Können Sie bitte mir sagen, wie viel Kostet am monat und wie viel Nebenkosten. Ich mochte Warm miete. Vielen dank for Ihre Mühe Mit freundlich Grüßen Eva	3
Wohnen in der Schweiz Willkommen in Stadt X. Es ist schön Sie hier willkommen zu heissen. In folgenden Bericht beschreibe ich die Möglichkeiten ein eigenes Zuhause zu bekommen. Es besteht die Möglichkeit ein Wohnung zu kaufen oder mieten, aber auch ein Haus zu kaufen oder mieten. Ein Haus zu mieten ist sinnlos, weil es viel zu viel kosten würde. Wer aber will und die Kapital ein Haus oder Wohnung zu kaufen hat, soll es tun, weil die Zinsen ganz tief lagen. Vorallem, wenn man ein Familie hat oder einen planen will und auch länger in Stadt X bleiben will.  Für alleinstehende empfehle ich ein Wohnung zu mieten. Es gibt seht grosse Auswahl von verschiedenen Wohnungen und auch die Priesen. Man sollte achten, dass man nicht zu viel bezahlt. Dafür empfähle ich sich direkt bei Immobilienmarkt zu verwenden. Ob man kaufen oder mieten will, sie können helfen. Und auch die Preise sind da korrekt angepasst. Aber es gibt auch die Inserate In den Zeitungen und im Internet. Natürlich braucht es viel Zeit alles durchzulesen und die Preise zu vergleichen, aber es ist das Wert. Es spielt keine Rolle, wo und wie sie wohnen möchten. Ob mieten oder kaufen, es ist ihnen überlassen. Wichtig ist, das sie eine Zuhause finden. Die lehren Wohnräume warten auf neue Leute und neue Wohnideen	0
"Schon als Kind möchte ich Deutsch lernen, weil ich mich für Kultur und Leben deutschsprachiger Ländern interessiere. Meine erste Märchen, die meine Eltern von Bruders Grimm und Hofmann. Wäränd Musikunterrichten in Schule hörte ich gerne Werke von berümten deutschen und österreichische Komponisten. Auch alte geschischtliche Verbindungen zwischen meiner Heimat und deutschsprachige Länder machte meine Interesse zu der Sprache noch grösser. In meiner Muttersprache hört man oft deutsche Wörter. Zum Beispiel: „Postamt"", „Ziferblatt"", „Butterbrot"", „Akselband"", „Feldmarschall"", „Plazdarm""... Deutschsprachige Länder gelten als belibteste Länder für die Touristen aus ganzer Welt. Meine erste Erfahrung mit dem Deutschen habe ich wärend meiner Studentenzeit. Damals musste ich in Dresdengalerie Englisch sprechen. Ich fand dass nicht sinnvoll. Man fühlt sich viel bewusster auch in die Schweiz oder in Osterech, wenn er statt Englisch sich auf Landessprache sich ausdrücken kann. Das bringt auch weniger Missverständniss. Vor allem Deutschsprachige Länder haben grosse Einwohnerzahl in Europa. Sie gelten als hochentwickelte Länder. Meine Meinung nach , wenn jemand von diesen Länder etwas lernen möchte, erste Sritt ist natürlich die Sprache.  Besonders ist wichtig das für die Ausländer, die im deutschsprachige Raum leben und arbeiten. Das ist sinnvolle was gibt mit dem Deutschlernen zu anfangen. Für mich ist unvorstellbar ohne Deutschkenntnisse in Europa zu leben. Deutsch ist schon lange internationale Sprache geworden. Michpersönlich gefällt es. - fremde Sprache zu lernen."	0
                                                    Stadt X, den 24.02.2012 Liebe Olga, wie geht es dir und deiner Kinder, bist du Gesund? Bei uns ist alles gut. Maria besucht Sprachkurs und schreibe Bewerbung von Ausbildung. Ich gehe auch zum Sprachkurs. Wir haben keine Tiere, aber Maria willt Katze. Ich will zum Geburstag eine schöne Katze schenke.  Du hast auch Geburstag, ich wünsche dir viele Glück und Gesundheit und viel Spaß zum deine Arbeit. Ich denke nächte Jahre möchte ich Euch besuchen. Ich spare bisshen Geld und fliege mit Flug. Ich habe so lang euch nicht geseen. Ich liebe dich. Deine Schwecter. Hoffentlich bis bald Eva	2
"Friedrich Müller Bahnhofsstraße 12 12-321 Stadt X, Polen Computer-Spezialist (Personalabteilung) Odenwaldstraße 5 53119 Bonn Deutschland                                                              Stadt X, den 1. Mai 2007 BEWERBUNG UM EINE STELLE Sehr geehrte Damen und Herren,  mit großem Interesse habe ich Ihre Anzeige vom 15.6.2007 in „Gazeta Wyborcza""gelesen und hiermit möchte ich mich bei Ihnen um eine Stelle „Vertriebspraktikant"" bewerben. Ich besuche eine höhere Ausbildung im Bereich von IT und neuen Technologieen Währen der Studienzeit in den schlesischen Universität in Stadt Y, Oberschlesien besuchte ich viele zusätzliche Schulungen, die von weltbekannten Firmen organisiert worden sind. „SAP 2000-2005 und weitere Entwicklung"", „Das System von Oracle für Handelsketten""). Ich glabe daran, dass Schulungen, nötig sind, um sich weiter zu entwickeln. Ich bin sehr an elektronischen Datenverabreitung interessiert und wenn ich mit den Leute arbeite, bin ich in meinem Element. In den Vereinigten Staaten habe ich mit hunderten Menschen aus verschiedenen Kulturkreisen gearbeitet - deshalb weiß ich genau, was Flexibilität bedeutet. Da ich zur Zeit keine Familie habe, kann man sicher feststellen, dass meine Mobilität unbegrenzt ist, was ist natürlich ein positiver Aspekt. Ab 1 June könnte ich bei Euch, in Bonn die Arbeit aufhehmen. ich bin davon überzeugt, dass beide Seiten profiteren könnten, wenn Sie sich für meine Kandidatur entscheiden würden. Ich bin ein ausgebildeter und erfahrener Kandidat für diese Stelle und was sehr wichtig ist - Sind meine Erwartungen ganz niedrig. Ich habe immer von einer Arbeit im Verkauf, mit Kunden, geträumt Ich bin bereit jede Frage telefonisch beantworten Mit freundlichen Grüßen Friedrich Müller"	1
Au-pair-Argentur & Partner                                          29.07.2011 90451 Nürnberg Regenstr. 101                                                                     Müllergasse 12 Stadt X                                                                     (ap. 01234 12 a                                                                      Michael Winkelmann Sehr geehrte Au-pair-Agentur, In diesen drei Monaten, die ich bei einer Gastfamilie verbracht habe, bin ich sehr unzufrieden gewesen. Meine Situation in der Familie war es ganz schlimm. Die Familie war sehr nervös und sehr unsimphatisch. Wenn ich in Deutschland gekommen war, musste ich mir einen Taxi nehmen weil die Familie vergessen hatte mir abzuholen. Der Chef von die Familie war ganz streng mit mir. Er liess mich nichts machen. Ich konnte nich meine Guitarre und mit den Ball spielen. Das Essen war sehr schlecht und ich konnte nicht jeden Tag mich duschen. Die einige Positive sache war das Schulkurs. Die Lehrer waren alles sympathisch mit mir und meine Klassenkameraden waren ganz nett. Ich erwarte mir etwas besser als so. Zum Beispiel eine nette Familie und ein gutes essen. Ich habe auch ein paar Lösungsvorschlage. Am anfang man muss mehrere informationen über die Familie geben und sehen ob sie eine nette und verständnisse Familie sind. Ich hoffe dass sich diese Problem nicht wiederholt. Mit freundlichen Grüsse, Michael Winkelmann	1
Lieber Jens, wie geht es dir? Ich habe gehört, dass du Vater geworden bist. Das ist super! Ich wünsche dir und deiner großer Familie viel Gluck. Das ist der Junge oder das Mädschen? Und wie ist die Name des Babys? Deine Frau wolltet eine besonderes Name, oder? Ja, und wie es der Mutter des Babys geht? Sie ist gesund? Schreib doch mir schnell! Mit herzlichen grußen Tobias	4
Leber Daniela                                       01.06.2012 Ich möchte gehe in Schwiemmbad. morgen um 10 Uhr. da ist dort sher schun. und die veter sher warm. wan haben sie saiet Komenn sie mit mir. Mit fruendlech gruße. Tobias	4
Lieber Michael, vielen Danke für deine Briefe. Ich habe schon dich lange nicht gesehen. Ich wünsche dir alles Gute im neue Jahr. Guten Rutsch! Die Silvesternacht habe ich mit meiner Familie verbracht. Mein Kind ist am 22.9 letzten Jahrs auf den Welt gekommen. Deshalb muss ich mein Kind aufpassen und hat mein Mann das Essen im diesen Nacht für uns gekocht. Nach dem Essen haben wir gemeinsam ferngesehen und uns untergehalten. Ich denke, das ist glücklich. Nutürlich haben wir Zeit und Lust. Ich freue mich für deinen Besuch. Haben sie Am samstag Zeit? Wir treffen uns um 14 Uhr im Cáfe in der Bahnhofsstraße. Geht es? Weißt du, ich habe eine neue Arbeit gefunden! Ich arbeite als Kellnerin in einem Restauran. das Gelhalt ist gut, trotzdem ist der Arbeitzeit lange. Ich bin zufriden mit meinem Job jetzt.	2
"Im meinem Aufsatz möchte ich mich zum Thema: „Ist es sinnvoll, auch im Ausland die Traditionen seines Heimatlandes fortzusetzen, oder sollte man sich an der Kultur des Gastlandes orientieren?"" äußern. Meiner Meinung nach, es ist nicht gut im fremden Land nur seinen Traditionen fortzusetzen. In meinem Heimatland giebt es ein Sprichwort: „Im fremden Kloster darf man nicht die eigene Gesetze mitbringen."" Aber es ist auch nicht gut die Traditionen und Kultur seinen Eltern voll zu vergessen. Man sollte einen Kompromis finden. Zum Beispiel in eigenen Familienkreis die Feiertagen der nationalen Kultur feiern. Mit dem eigenen Kindern zu Hause die Muttersprache sprechen. Sich für die politische Situation, wirtschaftliche Entwicklung und Kultur im Heimatland weiter Interessieren. Die Gerichte seinen nationale Küche öfter kochen. Trotzdem ist es sehr wichtig die Kultur, Sitten und die Traditionen des Gastlandes zu beachten. Das, dass in unseren Sprichwort „Gesetze"" gemeint ist. Wenn man sich für eine Umsiedlung entschieden hat, muss man auch mit den Veränderungen im seinen Leben nechmen. Ich persönlich finde es auch interessant, die anderen Kulturen kennenzulernen . Ich vergleiche immer noch die Traditionen meinem Heimatlandes mit den Traditionen des meines Gastlandes, aber die Ersten hier fortzusetzen, werde ich nicht."	0
                                                   28.02.2012 Lieber Silke, ich habe deine Breif bekommen, ich freuch mich du das mir geschriben hast. ich möchte gerne kommen bei dir und was möchtes du zum Geburtstag mögen du eine Tiere, wen du möchte eine Tiere ich Schencke du gerne zum Geburtstag. Viele Grüßen Julia	2
Meiner Meinung nach, soll man sich an der Kultur des Gastlandes orientieren. Ich denke, daß es immer so viele Vorteile gibt, wenn jemand nicht nur die Tradition des Heimatlands, sondern auch neue Kulture und Tradition kennenlernt. Es ist wichtig neue fremde Wörter aus Ausland zu hören und zu sehen, andere Feier kennenzulernen Man wird mehr sein mit Kenntniss der neuer Tradition. Es gibt ein Sprichwort: Wie viel Sprache man spricht, so viele verschiedene Persönlichkeit ist. Die Sprache gewöhnt sich an Tradition des Landes. Es ist immer wichtig, wenn man nach eines neues Land fährt, die Haupttradition und Gebrauch von diesem Land kennenlernt. Z.b. Es ist immer wichtig zu wissen, daß man während Ramadan keine Speise im arabischen Land bis sieben Uhr am Abend essen kann Wenn man mehr Geschichte über das Land und die Traditionen des Landes kennt, kann man mehr von dem Gastland verstehen. Die Feierntage hängen von Geschichte des Landes ab. Zum Beispiel in Ungarn feiern wir den 20. August wir die Gründung von unserer Heimat. Endlich muß ich es sagen. Das ist aber wichtig und notwendig der Kultur des Gastlandes kennen zu lernen, aufzupassen. Ich denke, wenn man die Tradition und der Kultur über eines fremdes Land kenne, macht man mehr und klüger. Und man kann sich mit einander einfacher über der ganzen Welt unterhalten, wenn sie einander berichte kennen.	0
                                       Stadt X, den 27.02.11 Liebe Silke! Danke dass du interessierst  für meine Familie. Uns geht es auch ganz gut. Michael geht schon in der zweite Klasse, Friedrich ist jezt in der fünften Klasse er ist noch in Orientierungsstufe, dann wenn er gute Note bekommt, darf er ins Gymnasium. Und ich besuche einen Sprachkurs, und mein Mann arbeitet. Danke dir, dass du an mir gedacht hast. Wie du weist schon, ich feiere keine Geburtstage, also musst du um einen Geschenk nicht kümmern. Tiere mag ich auch, sie haben einen guten Geschenk ihrem Sohn gekauft. Ich habe schon auch darüber gedacht euch zu besuchen, also vielleicht am Osternferien? Ruf mich an, wenn du was vor hast. Da würde ich mich sehr freuen, wenn wir euch besuchen können. Bis bald Eva	2
                                                  Stadt X den 22.03.12 Lieber Dana Nachdem ich deine brief gekregt dass hat mir gut laune gebracht. Jezt Ich bin glücklüsch mit deine prufung bestaden, darüber ich katoriere dich. Wenn zu hause bist müsste ich zu dir kommen. mein Wunsch von Istanbul also etwas süß ist. weil habe ich gehört dass es gebs gutes Süßeskeite in Istanbul, und wo liebt den deine Verwanten? Antwortet mir.  Viele Grüßen Stefan	2
                                       16.03.2012 Hallo, mein Freund Ingo! Wie gehst es dir? Kann du mir helfen? Ich brauche eine Wohnung von 1. April in Neuburg. Kann du mir bei der Wohnungssuche helfen? Ich danke dir! Mit Freundlich Größen, Maria	4
                                   Stadt X, 19. Mars. 2013 Liebe Jens, Ich gratuliere dich zum Entbindung, es freut mich zu hören, das du ein Babys gebären. Wie es der Mutter des Babys geht? Ich hoffe ist sehr gut Was ist die Name von sein Baby? Bitte Antworte mir bald oder Ruf mich an. Bitte Gruß die Ganze famillie von mir.  Mit Freundlichen Grußen Schmidt Maria	4
"Wohnungssituation in meinen Heimatstadt. - - Stadt X. Die Wohnungssituation in meinem Stadt ist völlig anders als z. B in Stadt Y. Stadt X hat ungefähr ein halben milion Einwohner, die Mehrheit davon sind Eigentümer von Häusern oder auch Wohnungen. Die Junge Menschen, die bereit Studium abgeschlossen haben und einen Arbeitsplatz gefunden haben, bemühen sich - oft mit Elternshilfe, um ein eigener „Nest"" Es ist natürlich nicht so einfach, daswegen viele sind für vielen Jahren von den Banken abhängig. Ein großes Vorteil davon, dass die Wohnung, oder das Haus nach vielen Jahren ums gehört. Daswegen rendiert es sich, und viele Junge Leute zügern nicht lange, sonder greifen sofort, und obwohl bestimmt nicht leicht ist auf vielen zu verziechten, sind sie zum Schluß sehr zufrieden mit der Entscheidung. Aus diesem Grund sind die Mietwohnungen daher sehr teuer. Wenn man eine Wohnung mieten möchte z.B. als ein Paar, sollen beide bereit arbeiten, sonst wurde es knapp mit der Finanzierung. Stadt X ist kein Industrie Stadt. Junde Leute nach dem Studium suchen nach anderen Möglichkeiten, etweder in einem anderen Stadt, oder auch im Ausland. Während des Studium sind auch sogenannte WG. sehr gefragt. Aauch für denen die in Stadt X beruflich sind, ist das eine gute Alternative.  Im Grundegenommen sind aber Mietwohnungen, oder auch WG.-Zimmern sehr teuer. Empfehlenswert ist mit der Firma, in deren man arbeitet zu verhandeln. Oft übernehmen große Unternehmen Kosten der Mietwohnung, um das Angebot interessanter zu gestalten."	0
Ich möchte einen Bericht über den Wohnungsmarkt in Stadt X beschreiben. Zur Zeit muss man mehr Geld als früher haben, um eine Wohnung zu mieten. oder kaufen. Die Mietkosten in der Stadt hoher geworden. Daswegen gibts möglichkeit billiger Wohnung finden, aber im schlechten Bezirken, d.h. gefährliche Teile des Stadt. Oder, die Leute, die Lust haben selbe eine Wohnung renovieren, haben möglichkeit bedürfnissrenovierung Wohnung finden. Ich finde diese Idee auch nicht schlecht, weil du selbe Kreativität und eigene Fantasie zeigen kann.  Für die Jungefamilien mit kleine Kindern, kann ich der Bezirk wie Stadtteil X vorschlagen. In diesem Bezirk gibt´s viele moderne, grüne Spielplätze, Parks und alles für die Aktivität. Und da wohnen viele Jungere Familien. Auch kann man da viele Schönes Bars, Restaurants und Diskos finden. Für die ältere Leute können die Bezirke wie Stadtteil Y und Stadtteil Z ideal passen. Diese Stadtteile sind grün, ruhig und gemütlich, mit vielen Parks und kleinen Laden, wo man sich entspannt kann Stadt X ist sehr groß und jede kann ein passende eigene Bezirk finden. und passende Wohnung oder Haus. Ob man Jung oder alt, Reich oder Arm, allein oder mit Großefamilie. ist.	0
Lieber Ingo wie geht es dir? Ich habe neue Arbeit in Neuburg gefunden. Jetzt ich suche für eine Wohnung in Neuburg. Meine Arbeit fängt am 11 Juli an und ich brauche eine Wohnung bevor dann. Kannst du mir mit meine Wohnungsuchen hilfen? Ich brauche eine Wohnung dass  ist mindestens 120 m², weil ich eine Größe Familien haben. Schön Gruß, Michael	4
                            Stadt X 04.01 2012 Sehr geehrte Damen und Herren Ich suche eine Wonung Ich brauche zwei Zimmer ab 50² mit dem Balkon bis 400 €-kalt dos Bad, die Küche, die Garage Tel. 0345-11111111	3
                              16.03.2012 Hallo Ingo! Wie gehts es dir? Wie war deine Schule Jahr? Ich habe eine neue Arbeit in Neuburg gefunden! Ich bin so aufgeregt! Jetzt muss ich eine Wohnung in Neuburg finden. Kannst du mir hilfen? Ich brauche nur ein klein Wohnung mit ein Schlafzimmer, ein Bädzimmer und eine Küche. Am 1 April komme ich nach Neuburg. Vielen dank für deine Zeit! Hofflich Bis gleich!  Mit freundlich Grußen, Maria	4
Hallo Liebe Maria! Gestern, musste ich dringend fahren. Meine Tante ist sehr Krank und sie ist im Krankenhaus. Sie hat Problem mit ihrem Herz, deswegen bin ich jetzt in Köln. Meine Tante lebt hier alleine. Sie hat keine Familie hier, nur mich. Leider, konnte ich mein Hund nicht mitnehmen weil sie zu Hause ein kleines Kätzchen hat. Ich weiß nicht genau, wie lange muss ich in Köln bleiben. Du hast mein Schlüssel und ich habe eine Bitte, kannst du jeden Tag zu meinem Haus kommen? Ich habe das Essen für meinen Hund schon vorberaitet. Es ist im Kühlschrank. Bello (mein Hund) braucht nur 3 mal am Tag draußen gehen. Vielen Dank für ihre Hilfe. Machts gut. Bis bald Eva	3
                                Stadt X 05 01 . 2012 Liebe Julia, Ich habe eine Fohrkorte für einen Wochenen noch Luksemburg gehen. Lieder konnte ich nicht gehen. weill meine Mann ist Kronk Wendu die Fohrkorte hoben mochtet schneib nich ein E-Moil Vielen Grüße Deine Maria Meier	3
                                                    30-5-2012 Liebe Maria wigets. möchte Ich morgen susamen im schwimmen gehen. hastu Luset? trefen uns im BanHof Aingang und wir gehen zusamen. nicht vergesen Bade mantel und Schwimmen schen. und Ich nahme  Brot und Kliens esen und Bis Baled danie freundin. Katharina	4
Hallo Daniela! Wir geht´s dir? Ich  habe heute frei und ich möchte mit dir in Schwimmbad gehe. Hast du Zeit? Wann du möchtest, wie treffen uns am 14 00 Uhr in den Bushaltestele. Muss du  nur eine Deke dabei haben. Bis bald Julia	4
