text	readability
Jezt Ich bin glücklüsch mit deine prufung bestaden, darüber ich katoriere dich.	2
Anfand 2002 bin ich mit meine Tochter nach Deutschland umgesiedilt.	1
Ich bemühe mich um Ihnen, aber es geht nicht.	1
Und etwas für die Freizeitaktivitäten - gibt es welche oder nicht?	1
Wo Ihre Verwandten leben?	2
Muss du Helfen mir.	4
In meinem Freizeit interessiere ich mich für viele sachen und moglichst muss immer etwas neues sein w.z.b.	1
Stadt X Betreff: Bewerbung - Vertriebspraktikant Sehr geehrte Damen und Herren, ich habe Ihre Anzeige für ein Praktikum in der Website www.firma x.de gesehen.	1
willst du auch?	4
Muss ich mich nur um Kinder kümmern, oder muss ich auch eine Haushaltarbeit machen.	1
Viele Grüße Deine Cousine Maria	4
Somit ist Deutsch nicht nur für den Deutschen wichtig, als auch für anderen auch wichtig und sinnvoll.	0
Ich Gratuliere Ihen und Ihre Frau auf das neue Baby.	4
In der Silvesternacht sind meinen Mann und ich auf die Bahnhofstraße gegangen.	2
Dort müsste man sich in großem Maße den Menschen anpassen.	0
                                  Stadt X, den 26.	2
Warum nicht!	0
Ich sollte meine mansche Traditionen nicht nach Deutschland mitnehmen.	0
Mir geht es gut.	3
Besonders bin ich an elektronischer Datenverarbeitung interessiert und direkt mit meinen Interessen meine Spezialisation verbunden ist.	1
Juni, abere will ich von 15.	4
Am Festtag selbst treffen sich die Leute in der Natur, um gemeinsam zu essen, zu trinken, zu tansen und mit der sehr gute Laune zu feiern.	0
Ich brauche jetzt eine wohnung weil ich eine Arbeit in Neuburg gefunden habe.	3
Kannst du dich meine Katze füttern.	3
So müssen meine Eltern die Formalitäten unternehmen?	1
Leben in mein Stadt ist ein normal leben.	0
Hallo Dolly!!	4
Für mich persönlich die Sprache steht auf der ersten Stelle.	0
Im letzten Jahr habe ich in kleiner polnischen Firma gearbeitet,  wo ich für Verkauf und Marketing verantwortlich war.	1
Ich möchte gern auch so eine haben.	2
Ich glaube es/sie is sehr shön/nett.	4
Ich danke Ihn.	4
Ab 1 June könnte ich bei Euch, in Bonn die Arbeit aufhehmen.	1
Ich würde Ihnen sehr dankbar, wenn Sie alle meine Fragen bald beantworten konnen.	1
Über eine Einladung zu einem Vorstellungsgespräch würde ich mich sehr freuen, damit Sie sich einen Eindruck von mir machen können.	1
Lieber Freund Hallo Lieber Freund ich habe eine neue Arbeit in Neuburg gefunden.	4
Aber Leider muss ich bis Ende März eine neue Wohnung in Neuburg vermitten, weil ich am Anfang April die neue Arbeit starte ich möchte fragen ob du nechste Woche ein bischen Zeit für mich hätte, die neuen Wohnungen zu ?	4
Vielen Dank für Ihre Hilfe Viele Grüße Eva Müller	3
Anderseits gibt es viele Probleme in Gastland, weil man nicht mehr in Gastland ohne neue Kultur zu lernen.	0
Wie geht´s?	3
Dagegen bekommt deutsche Sprache mit jedem jahr mehr Anerkennung.	0
                                                                            Donnerstag, 27.	1
Ich hätte gern Lust auf einen Besuch von dir und Julia!	2
Ich habe keine Beratung gefunden.	1
ich werde schon glücklich.	2
Ansonst fühle ich mich gezwungen, die Anlegenheit in die Medien gegeben oder zum meinen Anwalt zu übergeben.	1
Auch wenn man eine sehr fazienierende Kultur kennenlernen möchte, halte ich es für sinnvoll.	0
                                      22.02.2012 Liebe Dana, ich danke dir für deine Brief, am Sammstag gehe ich bei dir aus Istanbul kommen.	2
Ich habe die Agentur mehrmals angerufen aber Sie ist nicht immer erreichbar.	1
Also, ich brauche eine Wohnung in Mai und vielleicht du könntest mir bei meine wohnungssuche helfen?	4
Mit freundlichen grüßen Eva	3
Meine liebe Freundin!	3
mir geht es gut.	4
Ich hatte eine Fahrkarte für einen Wochenendausflug gekauft.	3
Sehr geehrt Damen und Herren Ich suche eine Wohnung, im am Zentralplatz zwei zimmer 73 kw  Kalt mitte 350€.	3
Stadet Y  Betriff: Suchen eine Wohnung an das Wohnungsamt Sehr geehrte Damen und Herrn.	3
Ich musse sebstständig sein und wenn möglich alle Problemen selber lösen können.	0
Du musst mit ihr 1 stunde am Tag faulenzen.	3
Kannst du mir helfen?!	3
                                                Stadt X, den 12.3.2012 Liebe Dana, Es ist schön, zu auf dich hören.	2
"Als ich eine ""Au-pair"" Erfahrung in Deutschland suchte, habe ich einen köstlichen Vertrag (Nr KCLE-23450) mit Ihrer Agentur vereinbart."	1
M. Meier	0
Es ist möglich auch ein Balkon haben?	3
Ohne Deutsch kentnisse wie konnte ich Konflikten mit Nachbarn lösen?	0
Es ist eigentlich mein Wünsch, nach Türkei zu fahren.	2
auf der Viese, es wurde Feuer entzündet usw.	0
Liebe Freund Ingo: Kann mir bitte helfen  Ich  arbeite in Neuburg.	4
2.	1
Ich hatte andere Erwatungen.	1
Doch manche sind wie ein kleine Appartment.	0
Ich besuche dich gern wenn du zurückgekommen bist.	2
Vieleicht kannst du mir helfen?	4
Mit freundlichen Grüßen Meier Julia	0
Mit viele Gruße Julia	2
Am besten bringen wir mal einen Architekt zur Wohnungsvorstellung mit!	0
August 2011 Beschwerde wegen der Werbeanzeige für eine Au-pair-Stelle in Deutschland.	1
Juli zur Verfügung stehen.	1
Es ist eine Vorteil die Traditionen von dem Gastland zu kennen, eine gute Mittel um die Kulturkreis zu erweitern.	0
Danke im Voraus Mit freundlichen Grüßen Eva Winkelmann Stadt Y, 14.10.2011 Winkelmann	1
weil Ich eine neue arbeit gefunden in Neuburg habe und ich brache anie neun Wohnug.	4
Wir haben zusammen party machen.	2
Es ist ruhig und ganz liebe.	3
Für mich bedeuten sie schweizer Landwirtschaft, Architektur, Essentraditionen, Dialekt... Alles, was so Kleine Land als Schweiz zu eine Perle in der ganze Welt macht.	0
über der Aufenthaltstitel was soll man machen?	1
zum Beispiel inder mitte ist ganz andere als west oder nord.	0
Ob man Mieten oder Kaufen möchte, kommt darauf an, wie lange man bleiben will.	0
Ich hoffe man konnte sie gut informieren über das Wohnverhältnis falls Sie Fragen haben können Sie sich gerne an uns wenden.	0
Kannst du mir mit meinen Haustieren helfen?	3
Ich brauche diese Wohnung Größe sein, und die Preis ist egal.	4
Man muss am anfang eine große Menge Geld ausgeben und lange Zeit hingegen bezahlen, allergings spricht für uns Spanier die beste Wahl.	0
DESWEGEN BRAUCHE ICH MEHR INFORMATIONEN.	1
Herzliche Grüße Maria	2
Sie soll auch nicht groß sein.	4
                                       STADT X 04 17 Liebe Michael Vielen Dank für deine Brief.	2
Falls es möglich ist, ist es besser eine Wohnung während des Winters zu vermieten.	0
Man kann das feststellen, wenn wir die Arbeitslosskeitsrate von der Schweiz anschauen.	0
Ich kann sehr gut mit Kinder zusammen arbeiten, weil ich schon Lehrerin Ausbildung habe, in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken, mit viele Sehenswürdigkeiten und Kultur.	1
Nun merke ich dass ich habe zum Teil die Ziel verfehlt - aber ich habe auch kaum Erfahrung mit Wohnungsmiete oder Kauf.	0
Meine Wunsch für neue Jahr ist eines neues Job gefunden, weil auf meine Arbeit viel stresig ist, wie immer, und mein Chef ist immer schlecht gelaunt und böse.	2
Das ist zurzeit die Größte Problem in Deutschland.	0
Bis zu letzten Tagen vor Ausflug wusste ich nicht wo genau ich komme.	1
Arbeiter müssen sich immer mit der Häuser beschäftigen.	0
Ich Kann mein Haustier die Hase nicht mitnehmen und Kann auch nicht die allein zu Hause lassen.	3
Zum Schluss möchte ich anmerken, dass der Wohnungsmarkt in meiner Stadt gut funktioniert und sie viele Angeboten sehr schnell bekommen.	0
Daher jemand der gute Deutschkenntnisse besitzt und die Sprache gut beherrscht, hat die Mittel schnell und mühelos andere Sprachkentnisse zu entwickeln.	0
Viele Grüße                   Eva Winkelmann	2
Vielleicht Erste Woche nach der prufun Kann Ich zu dir kommen.	2
Weil ich  und mein Hund beim Tierarrzt waren.	3
Ein weiterer Aspekt ist eine Rolle der Tradition für Kinder der Migranten.	0
Mit freundlichen Grüssen Michael Meier	1
Hilfst bitte, Ich suche neue Wohnung.	4
Durch ein Praktikum in Ihrer Firma kann ich berufliche Kenntnisse erwerben und mein Deutsch verbessern.	1
Maria Meier                           28.Oktober 2011 1728 Stadt X  Aupairsglobal Bahnhofstr.	1
Wann wir habe Zeit?	2
Ich suche einen zwei Zimmer Wohnung in Stadtmitte weil einfacher für mich zur Arbeit erreichen wäre Ich weis dass vielleicht diese Wohnung teuerer ist / wäre aber ich brauche 2 Zimmer wenn meinem Freunden bei mir besuchen Kommen Ich weiß dass du sehr venig Zeit hast und ich bin sehr dankbar für einen Hilf.	4
Ich will mit meinen Freunden wohnen.	3
Meiner Meinung nach ist dass einerseits man sich an der Kultur des Gastlandes orientieren sollte, anderseits ist es sinnvoll, auch im Ausland die Traditionen seines Heimatlandes fortzusetzen.	0
Wie es auch der Mutter des Babys geht?	4
Kann ich nächste Woche euch besuchen?	4
(Was denkt ihr darüber?)	0
Für Geburstag von Max macht keine sorge, ich schenke sehr gern, ein Siamese Katze.	2
Seit mehrere Jahren bin ich teilzeit bei einem Freund beschäftigd und kann damit schön erste erfahrungen nachweisen.	1
101 90451 Nürnberg                                                                     Stadt X den, 01.08.2011.	1
Bis bald Herzliche Grüße Eva	2
Ich musste viele Essen mitbringen und dann gehen wir am Meer schwimmen.	2
Mein Mann eden Tag muß arbeiten.	2
Kannst du bitter mir helfen Weil habe ich Viel Sachen und muss Ich am 01.04.2012 Arbeiten und ich habe vinger Zeit und Soll ich am 15.03.2012 alle meine Sache raus.. Ich viel Stress Ich Vermesse dich, und vielen dank Julia	4
dass Arbeit mit Aupairsglobal als ein Internationale Aupair in Deutschland wäre gut für mich. Ich habe Berufserfahrung als ein Aupair in Frankreich und es war schreklich.	1
Die Reise ist von 09.01.2012 bis 13.01.2012.	3
Ich kann nicht meinen Hund mitnehmen, weil ich meinen Onkel besuche und er die Hunde häßt.	3
Liebe Grüßes Eva	2
Deswegen frage ich, ob du meine Fahrkate haben möchtest.	3
Ich möchte gerne in Deutschland meinen Sprachkentnisse verbessern.	1
Es gibt auch Mädchen die gezwungen sind früh Älter Manner zu heiraten nür wegen Tradition und die sind meistens Traurig.	0
Interkultureller Austausch macht eine bessere und reiche Welt und deswegen muss man nicht nur an der Kultur des Gastlandes orientieren, sondern auch die Traditionen seines Heimatlandes fortzusetzen.	0
Wenn man andere fremd Sprache lernen man bekomme eifach mehr Chande für die Arbeit zu finden.	0
Wir haben unsere Freude besucht.	2
Lieber Jens                                     31.05.2012 Stadt X herzlich Glückwünsche haben jetes eine Name für Inen Kind und wigsset jetes Ihre Frau jtez alls ok alls ardnom Mit Frenndlichen Grüßen Stefan	4
Die Leute da sind einbisschen entgeschlossen und es ist nicht zu viel akzeptiert.	0
Habe ich während meiner Zeit in Deutschland eine Krankenversicherung?	1
Es ist nich möglich ein Haus zu kaufen.	0
Heutzutage spielt die Arbeit eine bedeutende Rolle für die Menschheit.	0
Auch in diesem Fall ist es sinnvoll Deutsch zu lernen.	0
Aber nicht nur wenn man eine bessere Arbeit haben möchte oder wenn man im Ausland für eine Deutschefirma arbeitet, ist es empfehlenswert Deutsch zu lernen.	0
Ich habe ein Deutschkurs Prufung.	3
Im Rahmen gibt es viele Leute die Fremdsprache auf Englisch, Deutsch Französisch zu lernen, weil sie zukunftiger Beruf oder Studium brauchen müssen.	0
Schreibst du mir bitte wann du kommen kannst?	2
wann möchtest du die Fahrkarte mit nehmen?	3
Wie gehts dir.	4
Eine Woche zuruck habe ich Reise nach Berlin gekauft.	3
Ich muss mit meiner Mama nach London in Urlaub.	3
Zum Beispiel muss man mehrmals die Wohnung durchsuchen und versichern, dass alle Möbel und Ausstattungen in Ordnung sind.	0
Morgen ich fahre in Urlaub und Kätze bleiben in das Haus Ich habe Freundin, ich ihr bitte brauche meine Kätze für zwei wochen, und dann  ich abholen zürük.	3
Das was sie frißt habe ich alles früher gekauft.	3
Er kann in einem Studoo wohnen, ein bis zweihalbzimmer wohnen.	0
Wenn man im Ausland gefahren ist, muß es ihre Heimat nicht vergessen.	0
Man muss einfach nicht ganz in den Zentrum suchen, weil ersten die Miete sehr teuer sind und auch weil man sehr viel Zeit braucht um etwas genau und günstig zu finden.	0
Diese Praktikum möchte ich am Anfang des Aprils, beginnen und 40-45 Stunden pro Woche arbeiten.	1
Meine Gastfamilie ist sehr nett, aber leider sprechen Sie kein Hochdeutsch.	1
Freue mich anschauen im dieser neue Jahr.	2
Liebe Dana, viele Dank für auf dem brief.	2
Zum Schluss möchte ich anführen: die Kultur ist sehr wichtig.	0
Meine Tante lebt hier alleine.	3
Ihre Anzeige ist für mich ein Gottest Geseck wenn Sie mich ein Platz riserviren könnte.	1
Sie suchen ein Vertriebspraktikant in Ihre Firma.	1
Desto näher zum Bahnhof, desto höher der Mietzins.	0
Also eigentlich ist Deutsch bestandteil meines Lebens geworden und ich halte es für mehr als sinnvoll zu lernen.	0
                                            Stadt X, den 05.03.2012 Liebe Dana, vielen Dank, dass du zu mir aus Istanbul geschrieben hast.	2
Der Grund davon könnte ich hier auch erklären.	0
und gemeinsam mit Euch etwas unternehmen.	2
Es ist sehr schön, wenn wir zusammen sitzen und über eine neue Aktivität zu sprechen.	0
April.	4
ich bin sehr enthäust und unzufrieden vor allem  Ich möchte gerne, dass Sie auf meine Probleme bald korrespondieren, ansonsten schalte ich auf mein Anwalt an.	1
Natürlich besuche ich dich mit meine Familie.	2
Es gibt aber Unterschied, ob wir eine Wohnstelle im Zentrum kaufen wollen oder  an der Periferie.	0
Viele dank.	3
Wegen Staus und schwer Verkehr verbringt man viel zeit auf dem Weg.	0
Ich brauche eine Wohnung im Juli weil ich beginn mein Arbeit im beginn Juli.	4
Wie viele Stunde pro Tag muss man arbeiten?	1
Ich möchte mit Dir schwimmen gehen.	4
Dieses Problem betrifft mich persönlich.	0
Vielen Grussen                                                   Tschuss, Maria	4
Ich habe eine frage, bist du frei am kommen den montag?	3
Ich muss in drei Wohe aufziehen  Ich warte Antwort.	4
Sie haben verspricht immer hilfsbereich zu sein.	1
Das würde uns sehr froen.	2
Man kann bekannte Authoren in ihren Muttersprachen lesen und so seine Meinung besser verstehen.	0
Ich möchte besuchen die wohnung, wann haben sie Zeit?	3
Später sind wir dann in den unseren Garden gegangen, wo wir uns das Feuerwerk angesehen haben.	2
Sie haben mir keinen Lösungsvorschlag gemacht, um die Situation zu verbessern.	1
Wenn meine Prüfung bestehe, möchte ich weitere Kurse machen, um Deutsch zu lernen.	2
Nach meiner Ausbildung als Bureau Kauffrau lerne ich Deutsch in der VHS Stadt X. Ich beherrsche Französisch und Englisch schriftlich und mundlich und bin ich ganz sicher, nachdem ich ein Praktikum bei Ihnen absolviert, werde ich auch Deutsche Sprache in meinem Beruf zählen.	1
Deshalb bin ich sehr glücklich wenn ich ein Hund habe, denn ich möge die Tiere.	2
Das war zu schwierig für mich!	1
April 2011 gelesen.	1
An Silvester habe ich verschiedene gekocht.	2
Im vergleich mit dem Mieten einer Wohnung ist das Hauskaufen schwieriger.	0
Ich Interessiere mich für eine Stelle in Deutschland.	1
Wir haben auch das Feuerwerk angesehen es war wunderschön und unvergeslich.	2
Meistens sind die Wohnung in eine guter Umgebung teuer.	0
Ich bin Single deshalb verfüge ich über Flexibilität und Mobilität Ich erwarte meine fähigkeiten und kenntnisse in Ihre.	1
Ich bin eine fleißige und zuverläsige Person.	1
Jetz ist schon alles in ornung.	2
Ich habe lange nicht gehört dein Informationenn.	3
Sie mussen unbedigt beachten für die Heizung Kosten, weil in den Winter man für die Heizung bezahlen mussen.	0
Ein wichtiger Punkt ist die Arbeit- und Ausbildingschancen auf dem Arbeitmarkt.	0
                                    Stadt X, 04.01.2012 Sehr geehrte Damen Und Herren,d im zwei monaten suche ich Wonhaung mit 67 m Schlafe zimmer, ein Kinder zimmer, Balkon mit Keller.	3
Es wäre schön mit dir einen Urlaub zu machen.	2
Mit freundlichen Grüßen Katharina Meier                                    Unterlagen:                                                                          Lebenslauf                                                                          Zeugnisse                                                                          Passfoto	1
us.w.	0
Ich warte auf Ihre baldige Antwort.	3
"Schließlich werden Englisch, Franzosich, und Spanisch weltweit bestimmt mehr gesprochen als Deutsch, aber die sind nicht unbedingt ""nützlicher""."	0
Mit Freundlichen Grüßen -unreadable-	1
Bring bitte dein Badanzug und 10 Euro mit!	4
Ich wunsche dir ein gute Urlaub und ich warte schon auf dir!	2
Der Preis ist z.B.	0
Sie befinden sich im Stadtzentrum und die Miete ist nicht hoch (200 €  - 300 €).	0
Aber leider geht das nicht mehr, weil alle Leute in Korea schon erkannt haben, dass der Preis der Wohnung Schaum ist.	0
In eines fremde Land einzuwandern, bedeutet einen radikale Veränderung im Leben, vor allem falls man dazu von Bedingungen wie Politik oder Armut gezwungen ist.	0
Schreib bitte diene Antwort so schnell wie möglich.	3
Vielen DanK für deine helfen.	3
Trotzdem möchte ich hier in Stadt X blieben, weil ich mehrerer Freunde hie habe.	1
OK.	4
Viellen Dank und viellen Grüßen  Frau Meier Anlage.	1
sehen, wie die Einkäufe und Verkauf in diesem Geschäft aussehen.	1
Es gibt viele speziale Angeboten aber manchmal unmöglich, deshalb muss man daruf sehr beachten.	0
Über eine positive Antwort würde ich mich sehr freuen.	1
Es ist richtig für mich dass ich dieser Sachen wissen nach meinen Erfahrung in Frankreich.	1
                                  Stadt X, 26.	2
Mit Freundlichen Grüßen Julia	4
Viel Glück, Eva Winkelmann	4
Erinnst du mein schönes Hündchen Waldi?	3
101 65185 Wiesbaden Mehr Informationen über eine Au-pair-Stelle Sehr geehrte Damen und Herren, ich habe Ihre Anzeige gelesen und Sie zu schreiben entschieden, da ich mich für eine Au-pair-Stelle in Deutschland interessiere.	1
Wenn man umziehen muss, dann muss man nach einer Wohnung oder einem Haus suchen.	0
Bitte ruf mich an oder schreipt Deine Antwort bei E-Mail, herzlische Grüße, Dein Freund, Michael Meier	4
Alles in allem bin ich unzufrieden mit Ihre Au-Pair.	1
Am September 5, möchte Ich nach Neuburg umziehen.	4
Ich glaube, als Au-pair mädchen kann ich in Deutschland einen Deutschkurs besuchen?	1
Und bin über Computers sehr begeistert.	1
Zuerst haben meine Mutter und meine großmutter das Abendessen gekocht und danach haben die ganze Familie zusammen gegessen.	2
Wie viele Zimmer hat die?	3
Wie geht es dir?	4
Ich finde sie doch langweilig, und ich will eigentlich sie andern, aber mal schauen.	2
Ich warte auf deine Besuch und freue ich schon auf gemeinsame verbringene Zeit Herzliche Grüße Julia	2
In Istanbul wolle ich gefahren.	3
Ich freue mich sehr auf jede Antwort.	1
Mit freundlichen Grüßen Julia Winkelmann	1
Bei mir ist alles ok!	2
Viele Grüßen Julia	2
April gelesen.	3
Die Angaben auf das Verkehrsmittel findest du zusätzlich mit email.	3
Viele Grüße Eva	4
Ich möchte am Samstag mit Dir schwimmen gehen Freibad mit Dir.	4
Die einige Positive sache war das Schulkurs.	1
Ob man die deutsche Sprache lernen muss?	0
                                                           Stadt X, 8.3.2012 Liebe Michael, vielen Dank für dein Brief.	2
Aber für eine Ausländer ist es besser, wenn man gut informiert ist sonnst die Priese po der Mieten könnten hoch sein.	0
Immer wenige traditionische Speise zur Verfügung genommen.	0
Lieber Jens, ich habe gehört, dass du Vater geworden ist.	4
Eine Chinesin würde unwohl fühle wenn sie die Dirndl anziehen muss.	0
Ich finde, das ist gut.	2
Ich warte auf eine baldige Antwort und verbleibe, mit freundlichen Grüßen, Maria Meier	3
Um 23.00 Uhr sind wir in die Stadt gegangen, wo wir uns das Feuerwerk angesehen.	2
101 65185 Wiesbaden Deutschland.	1
Das Heimweh ist häufiger bei der Menschen, die ohne Familie im Ausland wohnen.	0
An der anderen Seite gehört der Wohnung nicht uns und wenn wir in den Wohnung Geld investieren geben wir nur Geld aus.	0
Vile, vile Glückwünsche!	4
Andererseits müssen auch die Deutsche etwas dafür tun, damit ich mich gut integrieren kann.	0
Die komplete Amortisierung ist nicht vorgesehen.	0
freundlich Grüsse                                                    Ihre Julia	4
Neben meine Studium abreite ich als Verkauferin in ein großen Technologische Geschäft  wo ich viel Technische und Kommunikation gesammelt habe Ich bin flexibel, beherrsche kommunikation fähigen.	1
Also am Samstg um 10 30 Wenn es ist möglich beringst du bitte zu esse und Trink mit	4
Aus diesem Grund wird die Sprache und die Kultur des neuen Landes eine Art von Voraussetzungen um schneller und besser sich um die neue Gesellschaft zu integrieren, und um eine Arbeit, in dem Bereich in dem wir bessere Chancen haben können, zu finden.	0
Meine Muttersprachen sind Russisch und Georgisch Ich spreche fließend Englisch und habe gute Kenntnisse in Deutsch Außerdem habe ich viel Erfahrung im Ungang mit Computern.	1
Mir geht es gut.	3
In Deutschland ist es verbotten, dass man in der Straße einen Lamm als Opfer schlachtet.	0
Ich mag auch Tiere.	2
Könnten wir am HauptBahnhof treffen?	4
In dem dritten Tag mussten wir aufräumen.	2
Ich möchte auch große Balkon.	3
Vieler grusser aus Stadt X wo ich gerade Dleutsche lerne	2
Viele Grüße          Julia	3
Mai 2010.	1
Stadt X den 13-2-2012 Geht mir gut und meine Famili auch gut.	2
Hallo Ingo, wie giest dir?	4
Närulich sagt auch die Aussage: wie viele Völker, so viele Gebräuche.	0
Als gelernte informatiker im Vertriebsbransche bin ich davon überzeugt das in ihre Firma meine fachlichen Kompetenzen mitbringen kann.	1
Ihr braucht dabei keine angst zuhaben, ihr verliert nicht dabei.	0
"Die Anzeige behauptete Sie hätten ""langjährige Erfahrung"", aber ich habe es völlig unangebracht gefunden, dass viele Leute von Ihrem ""Au-Pair-Agentur"" Praktikanten waren und mir nicht helfen konnten!"	1
Wir bringen Pizza und Obst mit.	4
Sehr geehrte Damen und Herren, meine Aufgabe liegt darin, Ihnen den Wohnungsmarkt in Stadt X  vorzustellen.	0
Meiner festen Überzeugung nach würden die Ausländer von mir erwarten, dass ich mich ihnen anpasse.	0
Ich bin flexibil und ich habe Führerschein seit 2008.	1
Eigentlich, habe ich keine Ahnung, was für eine Wünsche ich zum Geburtstag habe.	2
Mein Traum eine Wohnung mit eingenem Garten.	2
Bis bald Maria -image-	2
"wozu brauchen wir ""Kultur"" und ""tradition""?"	0
Viele Grüße, Stefan	4
Ich könnte Dich gern besuchen.	2
Ich warte deine Antworten.	4
Wenn du möchtest, würden wir am Samstag treffen.	2
Ich gratulieren uns.	4
Kann ich dir anrufen?	4
Ich bin 31 Jahre alt und habe 2 Kinder.	1
Freundliche Grüsse                                                       Maria Winkelmann	1
Veilleicht Kannst du für mir Donerbröt aus Istanbul mitbringen?	2
Liebe Grüße Friedrich	2
